"Sample_Date" "Discharge" "Substance"
1970-01-01 1.6 NA
1970-01-02 1.57 NA
1970-01-03 1.56 NA
1970-01-04 1.55 NA
1970-01-05 1.63 NA
1970-01-06 1.58 NA
1970-01-07 1.58 NA
1970-01-08 1.56 NA
1970-01-09 1.68 NA
1970-01-10 1.67 NA
1970-01-11 1.55 NA
1970-01-12 1.51 NA
1970-01-13 1.51 NA
1970-01-14 1.52 NA
1970-01-15 1.5 NA
1970-01-16 1.48 NA
1970-01-17 1.48 NA
1970-01-18 1.71 NA
1970-01-19 2.32 NA
1970-01-20 3.13 NA
1970-01-21 6.94 NA
1970-01-22 5.71 NA
1970-01-23 4.76 NA
1970-01-24 3.8 NA
1970-01-25 4.84 NA
1970-01-26 3.3 NA
1970-01-27 6.64 NA
1970-01-28 5.61 NA
1970-01-29 7.25 NA
1970-01-30 8.18 NA
1970-01-31 4.79 NA
1970-02-01 3.64 NA
1970-02-02 3.19 NA
1970-02-03 3.2 NA
1970-02-04 2.97 NA
1970-02-05 4.93 NA
1970-02-06 3.72 NA
1970-02-07 6.83 NA
1970-02-08 6.85 NA
1970-02-09 6.79 NA
1970-02-10 4.62 NA
1970-02-11 3.78 NA
1970-02-12 3.36 NA
1970-02-13 3.56 NA
1970-02-14 4.95 NA
1970-02-15 4.21 NA
1970-02-16 5.86 NA
1970-02-17 4.95 NA
1970-02-18 5.09 NA
1970-02-19 3.93 NA
1970-02-20 3.7 NA
1970-02-21 3.68 NA
1970-02-22 5.73 NA
1970-02-23 5.35 NA
1970-02-24 9.48 NA
1970-02-25 8.81 NA
1970-02-26 5.05 NA
1970-02-27 4.3 NA
1970-02-28 3.73 NA
1970-03-01 3.59 NA
1970-03-02 3.62 NA
1970-03-03 3.86 NA
1970-03-04 10.03 NA
1970-03-05 8.42 NA
1970-03-06 9.24 NA
1970-03-07 8.26 NA
1970-03-08 5.32 NA
1970-03-09 4.6 NA
1970-03-10 6.88 NA
1970-03-11 6.29 NA
1970-03-12 4.74 NA
1970-03-13 5.36 NA
1970-03-14 4.49 NA
1970-03-15 4.58 NA
1970-03-16 3.87 NA
1970-03-17 4.56 NA
1970-03-18 4.66 NA
1970-03-19 8.71 NA
1970-03-20 5.64 NA
1970-03-21 4.65 NA
1970-03-22 3.99 NA
1970-03-23 3.61 NA
1970-03-24 3.31 NA
1970-03-25 3.11 NA
1970-03-26 5.33 NA
1970-03-27 4.89 NA
1970-03-28 4.1 NA
1970-03-29 4.1 NA
1970-03-30 5.59 NA
1970-03-31 6.67 NA
1970-04-01 12.18 NA
1970-04-02 8.08 NA
1970-04-03 7.73 NA
1970-04-04 7.7 NA
1970-04-05 5.22 NA
1970-04-06 7.06 NA
1970-04-07 6.61 NA
1970-04-08 4.87 NA
1970-04-09 3.93 NA
1970-04-10 3.51 NA
1970-04-11 3.23 NA
1970-04-12 3.03 NA
1970-04-13 2.88 NA
1970-04-14 2.68 NA
1970-04-15 2.68 NA
1970-04-16 2.7 NA
1970-04-17 2.74 NA
1970-04-18 2.77 NA
1970-04-19 2.73 NA
1970-04-20 2.66 NA
1970-04-21 3.87 NA
1970-04-22 11.07 NA
1970-04-23 10.6 NA
1970-04-24 7.94 NA
1970-04-25 5.62 NA
1970-04-26 4.84 NA
1970-04-27 4.3 NA
1970-04-28 3.9 NA
1970-04-29 3.6 NA
1970-04-30 3.31 NA
1970-05-01 3.16 NA
1970-05-02 3.05 NA
1970-05-03 2.88 NA
1970-05-04 2.82 NA
1970-05-05 3.55 NA
1970-05-06 3.74 NA
1970-05-07 4.46 NA
1970-05-08 7.13 NA
1970-05-09 6.08 NA
1970-05-10 4.15 NA
1970-05-11 3.98 NA
1970-05-12 6.72 NA
1970-05-13 6.15 NA
1970-05-14 4.24 NA
1970-05-15 3.76 NA
1970-05-16 3.39 NA
1970-05-17 3.15 NA
1970-05-18 2.98 NA
1970-05-19 2.86 NA
1970-05-20 2.76 NA
1970-05-21 2.72 NA
1970-05-22 2.61 NA
1970-05-23 2.63 NA
1970-05-24 2.62 NA
1970-05-25 2.58 NA
1970-05-26 2.56 NA
1970-05-27 2.52 NA
1970-05-28 2.5 NA
1970-05-29 3.92 NA
1970-05-30 3.92 NA
1970-05-31 4.75 NA
1970-06-01 3.85 NA
1970-06-02 7.04 NA
1970-06-03 5.6 NA
1970-06-04 3.8 NA
1970-06-05 3.63 NA
1970-06-06 4.93 NA
1970-06-07 5.65 NA
1970-06-08 4.1 NA
1970-06-09 3.65 NA
1970-06-10 3.36 NA
1970-06-11 3.03 NA
1970-06-12 2.82 NA
1970-06-13 2.7 NA
1970-06-14 2.69 NA
1970-06-15 2.86 NA
1970-06-16 2.82 NA
1970-06-17 2.66 NA
1970-06-18 2.69 NA
1970-06-19 2.56 NA
1970-06-20 2.35 NA
1970-06-21 2.3 NA
1970-06-22 2.25 NA
1970-06-23 2.3 NA
1970-06-24 2.3 NA
1970-06-25 2.51 NA
1970-06-26 4.74 NA
1970-06-27 5.49 NA
1970-06-28 6.23 NA
1970-06-29 4.54 NA
1970-06-30 3.33 NA
1970-07-01 3 NA
1970-07-02 3.53 NA
1970-07-03 4.91 NA
1970-07-04 4.28 NA
1970-07-05 3.48 NA
1970-07-06 3.14 NA
1970-07-07 3.44 NA
1970-07-08 3.74 NA
1970-07-09 3.67 NA
1970-07-10 4.59 NA
1970-07-11 4.66 NA
1970-07-12 6.3 NA
1970-07-13 5.02 NA
1970-07-14 3.64 NA
1970-07-15 3.3 NA
1970-07-16 3 NA
1970-07-17 2.76 NA
1970-07-18 2.57 NA
1970-07-19 2.45 NA
1970-07-20 2.36 NA
1970-07-21 2.45 NA
1970-07-22 2.51 NA
1970-07-23 2.3 NA
1970-07-24 2.21 NA
1970-07-25 2.16 NA
1970-07-26 2.12 NA
1970-07-27 2.04 NA
1970-07-28 1.99 NA
1970-07-29 1.98 NA
1970-07-30 1.98 NA
1970-07-31 1.97 NA
1970-08-01 2.13 NA
1970-08-02 2.5 NA
